web-scraper-order,web-scraper-start-url,company,job-category-link,job-category-link-href,jobFunction,payPeriod,jobTitle,jobTitle-href,payPeriodCode,basePayRange,basePayMin,basePayMax,basePayAvg,totalPayAvg,payType1,pay1,range1,payType2,pay2,range2,payType3,pay3,range3,payType4,pay4,range4,payType5,pay5,range5,country,percent1,percent2,percent3,percent4,percent5
1692491978-1,https://www.glassdoor.com/Salary/IBM-Salaries-E354.htm,IBM,View More >,"https://www.glassdoor.com/Salary/IBM-Other-Salaries-EI_IE354.0,3_DEPT1017.htm",IBM Other Salaries,Annual Pay,Apprentice,"https://www.glassdoor.com/Salary/IBM-Apprentice-Salaries-E354_D_KO4,14.htm",/yr,$43K - $70K,$43K,$70K,$55K,"$54,861 ",Base Pay,"$50,793/yr",$40K - $64K,Bonus,"$4,069/yr",$3K - $6K,,,,,,,,,,United States,92.60%,7.40%,,,
1692491983-2,https://www.glassdoor.com/Salary/IBM-Salaries-E354.htm,IBM,View More >,"https://www.glassdoor.com/Salary/IBM-Other-Salaries-EI_IE354.0,3_DEPT1017.htm",IBM Other Salaries,Annual Pay,Security Sales,"https://www.glassdoor.com/Salary/IBM-Security-Sales-Salaries-E354_D_KO4,18.htm",/yr,$167K - $311K,$167K,$311K,$223K,"$223,059 ",Base Pay,"$119,271/yr",$89K - $166K,Bonus,"$22,595/yr",$17K - $32K,Stock,"$19,657/yr",$15K - $28K,Commission,"$61,535/yr",$46K - $86K,,,,United States,53.50%,10.10%,8.80%,27.60%,
1692491988-3,https://www.glassdoor.com/Salary/IBM-Salaries-E354.htm,IBM,View More >,"https://www.glassdoor.com/Salary/IBM-Other-Salaries-EI_IE354.0,3_DEPT1017.htm",IBM Other Salaries,Annual Pay,Graduate Co-Op,https://www.glassdoor.com/Salary/IBM-Graduate-Co-Op-Salaries-E354_DAO.htm?filter.jobTitleExact=Graduate+Co-Op,/yr,$50K - $77K,$50K,$77K,$62K,"$61,831 ",Base Pay,"$57,819/yr",$47K - $72K,Bonus,"$4,012/yr",$3K - $6K,,,,,,,,,,United States,93.50%,6.50%,,,
1692491995-4,https://www.glassdoor.com/Salary/IBM-Salaries-E354.htm,IBM,View More >,"https://www.glassdoor.com/Salary/IBM-Other-Salaries-EI_IE354.0,3_DEPT1017.htm",IBM Other Salaries,Annual Pay,Applications Management Services Lead,"https://www.glassdoor.com/Salary/IBM-Applications-Management-Services-Lead-Salaries-E354_D_KO4,41.htm",/yr,$108K - $176K,$108K,$176K,$137K,"$136,917 ",Base Pay,"$112,690/yr",$90K - $142K,Bonus,"$8,337/yr",$6K - $12K,Stock,"$9,755/yr",$7K - $14K,Profit Sharing,"$6,135/yr",$5K - $9K,,,,United States,82.30%,6.10%,7.10%,4.50%,
1692492004-5,https://www.glassdoor.com/Salary/IBM-Salaries-E354.htm,IBM,View More >,"https://www.glassdoor.com/Salary/IBM-Other-Salaries-EI_IE354.0,3_DEPT1017.htm",IBM Other Salaries,Annual Pay,Band 10,"https://www.glassdoor.com/Salary/IBM-Band-10-Salaries-E354_D_KO4,11.htm",/yr,$47K - $72K,$47K,$72K,$58K,"$58,380 ",Base Pay,"$53,431/yr",$44K - $65K,Stock,"$4,949/yr",$4K - $7K,,,,,,,,,,United States,91.50%,8.50%,,,
1692492008-6,https://www.glassdoor.com/Salary/IBM-Salaries-E354.htm,IBM,View More >,"https://www.glassdoor.com/Salary/IBM-Other-Salaries-EI_IE354.0,3_DEPT1017.htm",IBM Other Salaries,Annual Pay,Onshore Lead,"https://www.glassdoor.com/Salary/IBM-Onshore-Lead-Salaries-E354_D_KO4,16.htm",/yr,$108K - $159K,$108K,$159K,$130K,"$130,003 ",Base Pay,"$103,726/yr",$88K - $122K,Bonus,"$9,916/yr",$7K - $14K,Stock,"$9,847/yr",$7K - $14K,Profit Sharing,"$6,513/yr",$5K - $9K,,,,United States,79.80%,7.60%,7.60%,5%,
1692492013-7,https://www.glassdoor.com/Salary/IBM-Salaries-E354.htm,IBM,View More >,"https://www.glassdoor.com/Salary/IBM-Other-Salaries-EI_IE354.0,3_DEPT1017.htm",IBM Other Salaries,Annual Pay,HRLDP,"https://www.glassdoor.com/Salary/IBM-HRLDP-Salaries-E354_D_KO4,9.htm",/yr,$52K - $78K,$52K,$78K,$63K,"$63,290 ",Base Pay,"$52,647/yr",$44K - $63K,Bonus,"$5,052/yr",$4K - $7K,Stock,"$5,591/yr",$4K - $8K,,,,,,,United States,83.20%,8%,8.80%,,
1692492019-8,https://www.glassdoor.com/Salary/IBM-Salaries-E354.htm,IBM,View More >,"https://www.glassdoor.com/Salary/IBM-Other-Salaries-EI_IE354.0,3_DEPT1017.htm",IBM Other Salaries,Annual Pay,SSR,"https://www.glassdoor.com/Salary/IBM-SSR-Salaries-E354_D_KO4,7.htm",/yr,$73K - $129K,$73K,$129K,$96K,"$96,116 ",Base Pay,"$68,499/yr",$52K - $90K,Bonus,"$5,502/yr",$4K - $8K,Commission,"$17,858/yr",$13K - $25K,Profit Sharing,"$4,258/yr",$3K - $6K,,,,United States,71.30%,5.70%,18.60%,4.40%,
1692492023-9,https://www.glassdoor.com/Salary/IBM-Salaries-E354.htm,IBM,View More >,"https://www.glassdoor.com/Salary/IBM-Other-Salaries-EI_IE354.0,3_DEPT1017.htm",IBM Other Salaries,Annual Pay,Summer Intern,"https://www.glassdoor.com/Salary/IBM-Summer-Intern-Salaries-E354_D_KO4,17.htm",/yr,$50K - $83K,$50K,$83K,$64K,"$63,962 ",Base Pay,"$52,127/yr",$41K - $66K,Bonus,"$4,015/yr",$3K - $6K,Stock,"$4,485/yr",$3K - $6K,Profit Sharing,"$3,336/yr",$3K - $5K,,,,United States,81.50%,6.30%,7%,5.20%,
1692492027-10,https://www.glassdoor.com/Salary/IBM-Salaries-E354.htm,IBM,View More >,"https://www.glassdoor.com/Salary/IBM-Other-Salaries-EI_IE354.0,3_DEPT1017.htm",IBM Other Salaries,Annual Pay,IPC,"https://www.glassdoor.com/Salary/IBM-IPC-Salaries-E354_D_KO4,7.htm",/yr,$79K - $148K,$79K,$148K,$106K,"$105,572 ",Base Pay,"$80,181/yr",$60K - $112K,Bonus,"$7,360/yr",$6K - $10K,Stock,"$12,116/yr",$9K - $17K,Profit Sharing,"$5,915/yr",$4K - $8K,,,,United States,75.90%,7%,11.50%,5.60%,
1692492034-11,https://www.glassdoor.com/Salary/IBM-Salaries-E354.htm,IBM,View More >,"https://www.glassdoor.com/Salary/IBM-Other-Salaries-EI_IE354.0,3_DEPT1017.htm",IBM Other Salaries,Annual Pay,Graduate Student,"https://www.glassdoor.com/Salary/IBM-Graduate-Student-Salaries-E354_D_KO4,20.htm",/yr,$47K - $79K,$47K,$79K,$61K,"$60,787 ",Base Pay,"$56,386/yr",$43K - $73K,Bonus,"$4,402/yr",$3K - $6K,,,,,,,,,,United States,92.80%,7.20%,,,
1692492054-12,https://www.glassdoor.com/Salary/IBM-Salaries-E354.htm,IBM,View More >,"https://www.glassdoor.com/Salary/IBM-Other-Salaries-EI_IE354.0,3_DEPT1017.htm",IBM Other Salaries,Annual Pay,Iteration Manager,"https://www.glassdoor.com/Salary/IBM-Iteration-Manager-Salaries-E354_D_KO4,21.htm",/yr,$105K - $174K,$105K,$174K,$134K,"$134,473 ",Base Pay,"$112,046/yr",$88K - $142K,Bonus,"$7,560/yr",$6K - $11K,Stock,"$9,052/yr",$7K - $13K,Profit Sharing,"$5,815/yr",$4K - $8K,,,,United States,83.30%,5.60%,6.70%,4.30%,
1692492060-13,https://www.glassdoor.com/Salary/IBM-Salaries-E354.htm,IBM,View More >,"https://www.glassdoor.com/Salary/IBM-Other-Salaries-EI_IE354.0,3_DEPT1017.htm",IBM Other Salaries,Annual Pay,Retired,"https://www.glassdoor.com/Salary/IBM-Retired-Salaries-E354_D_KO4,11.htm",/yr,$170K - $310K,$170K,$310K,$226K,"$226,379 ",Base Pay,"$153,195/yr",$115K - $208K,Bonus,"$26,284/yr",$20K - $37K,Stock,"$32,093/yr",$24K - $45K,Profit Sharing,"$14,807/yr",$11K - $21K,,,,United States,67.70%,11.60%,14.20%,6.50%,
