web-scraper-order,web-scraper-start-url,company,job-category-link,job-category-link-href,jobFunction,payPeriod,jobTitle,jobTitle-href,payPeriodCode,basePayRange,basePayMin,basePayMax,basePayAvg,totalPayAvg,payType1,pay1,range1,payType2,pay2,range2,payType3,pay3,range3,payType4,pay4,range4,payType5,pay5,range5,country,percent1,percent2,percent3,percent4,percent5
"1692546518-1","https://www.glassdoor.com/Salary/Intuit-Salaries-E2293.htm","Intuit","View More >","https://www.glassdoor.com/Salary/Intuit-Customer-Services-and-Support-Salaries-EI_IE2293.0,6_DEPT1005.htm","Intuit Customer Services & Support Salaries","Annual Pay","Customer Support","https://www.glassdoor.com/Salary/Intuit-Customer-Support-Salaries-E2293_D_KO7,23.htm","/yr","$48K - $83K","$48K","$83K","$63K","$63,058","Base Pay","$52,847/yr","$40K - $69K","Bonus","$4,780/yr","$4K - $7K","Stock","$5,432/yr","$4K - $8K","","","","","","","United States","83.8%","7.6%","8.6%","",""
"1692546526-2","https://www.glassdoor.com/Salary/Intuit-Salaries-E2293.htm","Intuit","View More >","https://www.glassdoor.com/Salary/Intuit-Customer-Services-and-Support-Salaries-EI_IE2293.0,6_DEPT1005.htm","Intuit Customer Services & Support Salaries","Annual Pay","Customer Success Representative","https://www.glassdoor.com/Salary/Intuit-Customer-Success-Representative-Salaries-E2293_D_KO7,38.htm","/yr","$70K - $114K","$70K","$114K","$89K","$88,874","Base Pay","$60,761/yr","$49K - $75K","Bonus","$6,562/yr","$5K - $9K","Stock","$5,879/yr","$4K - $8K","Commission","$15,673/yr","$12K - $22K","","","","United States","68.4%","7.4%","6.6%","17.6%",""
"1692546532-3","https://www.glassdoor.com/Salary/Intuit-Salaries-E2293.htm","Intuit","View More >","https://www.glassdoor.com/Salary/Intuit-Customer-Services-and-Support-Salaries-EI_IE2293.0,6_DEPT1005.htm","Intuit Customer Services & Support Salaries","Annual Pay","Customer Support Manager","https://www.glassdoor.com/Salary/Intuit-Customer-Support-Manager-Salaries-E2293_D_KO7,31.htm","/yr","$107K - $171K","$107K","$171K","$134K","$134,256","Base Pay","$101,469/yr","$82K - $126K","Bonus","$11,498/yr","$9K - $16K","Stock","$13,730/yr","$10K - $19K","Profit Sharing","$7,558/yr","$6K - $11K","","","","United States","75.6%","8.6%","10.2%","5.6%",""
"1692546538-4","https://www.glassdoor.com/Salary/Intuit-Salaries-E2293.htm","Intuit","View More >","https://www.glassdoor.com/Salary/Intuit-Customer-Services-and-Support-Salaries-EI_IE2293.0,6_DEPT1005.htm","Intuit Customer Services & Support Salaries","Annual Pay","Call Center Representative","https://www.glassdoor.com/Salary/Intuit-Call-Center-Representative-Salaries-E2293_D_KO7,33.htm","/yr","$39K - $56K","$39K","$56K","$47K","$46,650","Base Pay","$39,183/yr","$34K - $45K","Bonus","$3,474/yr","$3K - $5K","Stock","$3,992/yr","$3K - $6K","","","","","","","United States","84%","7.4%","8.6%","",""
"1692546545-5","https://www.glassdoor.com/Salary/Intuit-Salaries-E2293.htm","Intuit","View More >","https://www.glassdoor.com/Salary/Intuit-Customer-Services-and-Support-Salaries-EI_IE2293.0,6_DEPT1005.htm","Intuit Customer Services & Support Salaries","Annual Pay","Intuit Turbotax Customer Service Representative","https://www.glassdoor.com/Salary/Intuit-Intuit-Turbotax-Customer-Service-Representative-Salaries-E2293_D_KO7,54.htm","/yr","$49K - $78K","$49K","$78K","$62K","$61,520","Base Pay","$42,968/yr","$35K - $52K","Bonus","$3,888/yr","$3K - $5K","Stock","$4,060/yr","$3K - $6K","Commission","$10,604/yr","$8K - $15K","","","","United States","69.8%","6.3%","6.6%","17.2%",""
"1692546556-6","https://www.glassdoor.com/Salary/Intuit-Salaries-E2293.htm","Intuit","View More >","https://www.glassdoor.com/Salary/Intuit-Customer-Services-and-Support-Salaries-EI_IE2293.0,6_DEPT1005.htm","Intuit Customer Services & Support Salaries","Annual Pay","Customer Experience Representative","https://www.glassdoor.com/Salary/Intuit-Customer-Experience-Representative-Salaries-E2293_D_KO7,41.htm","/yr","$48K - $75K","$48K","$75K","$60K","$59,741","Base Pay","$44,023/yr","$36K - $53K","Bonus","$3,532/yr","$3K - $5K","Stock","$3,730/yr","$3K - $5K","Commission","$8,456/yr","$6K - $12K","","","","United States","73.7%","5.9%","6.2%","14.2%",""
"1692546566-7","https://www.glassdoor.com/Salary/Intuit-Salaries-E2293.htm","Intuit","View More >","https://www.glassdoor.com/Salary/Intuit-Customer-Services-and-Support-Salaries-EI_IE2293.0,6_DEPT1005.htm","Intuit Customer Services & Support Salaries","Annual Pay","Customer Care Representative","https://www.glassdoor.com/Salary/Intuit-Customer-Care-Representative-Salaries-E2293_D_KO7,35.htm","/yr","$40K - $59K","$40K","$59K","$48K","$48,336","Base Pay","$41,729/yr","$35K - $50K","Bonus","$3,067/yr","$2K - $4K","Stock","$3,540/yr","$3K - $5K","","","","","","","United States","86.3%","6.3%","7.3%","",""
"1692546574-8","https://www.glassdoor.com/Salary/Intuit-Salaries-E2293.htm","Intuit","View More >","https://www.glassdoor.com/Salary/Intuit-Customer-Services-and-Support-Salaries-EI_IE2293.0,6_DEPT1005.htm","Intuit Customer Services & Support Salaries","Annual Pay","Customer Service","https://www.glassdoor.com/Salary/Intuit-Customer-Service-Salaries-E2293_D_KO7,23.htm","/yr","$46K - $75K","$46K","$75K","$59K","$58,512","Base Pay","$47,703/yr","$38K - $60K","Bonus","$5,328/yr","$4K - $7K","Stock","$5,481/yr","$4K - $8K","","","","","","","United States","81.5%","9.1%","9.4%","",""
"1692546580-9","https://www.glassdoor.com/Salary/Intuit-Salaries-E2293.htm","Intuit","View More >","https://www.glassdoor.com/Salary/Intuit-Customer-Services-and-Support-Salaries-EI_IE2293.0,6_DEPT1005.htm","Intuit Customer Services & Support Salaries","Annual Pay","Remote Customer Service Representative","https://www.glassdoor.com/Salary/Intuit-Remote-Customer-Service-Representative-Salaries-E2293_D_KO7,45.htm","/yr","$46K - $67K","$46K","$67K","$55K","$54,544","Base Pay","$40,107/yr","$35K - $46K","Bonus","$3,099/yr","$2K - $4K","Stock","$3,537/yr","$3K - $5K","Commission","$7,802/yr","$6K - $11K","","","","United States","73.5%","5.7%","6.5%","14.3%",""
"1692546585-10","https://www.glassdoor.com/Salary/Intuit-Salaries-E2293.htm","Intuit","View More >","https://www.glassdoor.com/Salary/Intuit-Customer-Services-and-Support-Salaries-EI_IE2293.0,6_DEPT1005.htm","Intuit Customer Services & Support Salaries","Annual Pay","Senior Customer Experience Specialist","https://www.glassdoor.com/Salary/Intuit-Senior-Customer-Experience-Specialist-Salaries-E2293_D_KO7,44.htm","/yr","$57K - $90K","$57K","$90K","$71K","$71,157","Base Pay","$59,606/yr","$48K - $74K","Bonus","$5,902/yr","$4K - $8K","Stock","$5,649/yr","$4K - $8K","","","","","","","United States","83.8%","8.3%","7.9%","",""
"1692546590-11","https://www.glassdoor.com/Salary/Intuit-Salaries-E2293.htm","Intuit","View More >","https://www.glassdoor.com/Salary/Intuit-Customer-Services-and-Support-Salaries-EI_IE2293.0,6_DEPT1005.htm","Intuit Customer Services & Support Salaries","Annual Pay","Director Customer Care","https://www.glassdoor.com/Salary/Intuit-Director-Customer-Care-Salaries-E2293_D_KO7,29.htm","/yr","$303K - $507K","$303K","$507K","$387K","$386,549","Base Pay","$194,336/yr","$159K - $237K","Bonus","$41,616/yr","$31K - $58K","Stock","$60,453/yr","$45K - $85K","Commission","$67,676/yr","$51K - $95K","Profit Sharing","$22,468/yr","$17K - $31K","United States","50.3%","10.8%","15.6%","17.5%","5.8%"
"1692546596-12","https://www.glassdoor.com/Salary/Intuit-Salaries-E2293.htm","Intuit","View More >","https://www.glassdoor.com/Salary/Intuit-Customer-Services-and-Support-Salaries-EI_IE2293.0,6_DEPT1005.htm","Intuit Customer Services & Support Salaries","Annual Pay","Customer Service Support Representative","https://www.glassdoor.com/Salary/Intuit-Customer-Service-Support-Representative-Salaries-E2293_D_KO7,46.htm","/yr","$44K - $64K","$44K","$64K","$53K","$52,733","Base Pay","$45,393/yr","$39K - $54K","Bonus","$3,528/yr","$3K - $5K","Stock","$3,812/yr","$3K - $5K","","","","","","","United States","86.1%","6.7%","7.2%","",""
"1692546601-13","https://www.glassdoor.com/Salary/Intuit-Salaries-E2293.htm","Intuit","View More >","https://www.glassdoor.com/Salary/Intuit-Customer-Services-and-Support-Salaries-EI_IE2293.0,6_DEPT1005.htm","Intuit Customer Services & Support Salaries","Annual Pay","Service and Support Representative","https://www.glassdoor.com/Salary/Intuit-Service-and-Support-Representative-Salaries-E2293_D_KO7,41.htm","Salaries","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1692546612-14","https://www.glassdoor.com/Salary/Intuit-Salaries-E2293.htm","Intuit","View More >","https://www.glassdoor.com/Salary/Intuit-Customer-Services-and-Support-Salaries-EI_IE2293.0,6_DEPT1005.htm","Intuit Customer Services & Support Salaries","Annual Pay","Service Support Representative","https://www.glassdoor.com/Salary/Intuit-Service-Support-Representative-Salaries-E2293_D_KO7,37.htm","/yr","$48K - $72K","$48K","$72K","$59K","$58,534","Base Pay","$50,402/yr","$42K - $60K","Bonus","$4,126/yr","$3K - $6K","Stock","$4,006/yr","$3K - $6K","","","","","","","United States","86.1%","7%","6.8%","",""
"1692546618-15","https://www.glassdoor.com/Salary/Intuit-Salaries-E2293.htm","Intuit","View More >","https://www.glassdoor.com/Salary/Intuit-Customer-Services-and-Support-Salaries-EI_IE2293.0,6_DEPT1005.htm","Intuit Customer Services & Support Salaries","Annual Pay","Customer Support Specialist","https://www.glassdoor.com/Salary/Intuit-Customer-Support-Specialist-Salaries-E2293_D_KO7,34.htm","/yr","$47K - $71K","$47K","$71K","$58K","$57,780","Base Pay","$49,665/yr","$41K - $60K","Bonus","$4,018/yr","$3K - $6K","Stock","$4,097/yr","$3K - $6K","","","","","","","United States","86%","7%","7.1%","",""
"1692546623-16","https://www.glassdoor.com/Salary/Intuit-Salaries-E2293.htm","Intuit","View More >","https://www.glassdoor.com/Salary/Intuit-Customer-Services-and-Support-Salaries-EI_IE2293.0,6_DEPT1005.htm","Intuit Customer Services & Support Salaries","Annual Pay","Customer Service Specialist","https://www.glassdoor.com/Salary/Intuit-Customer-Service-Specialist-Salaries-E2293_D_KO7,34.htm","/yr","$42K - $65K","$42K","$65K","$52K","$51,806","Base Pay","$44,813/yr","$37K - $55K","Bonus","$3,300/yr","$2K - $5K","Stock","$3,693/yr","$3K - $5K","","","","","","","United States","86.5%","6.4%","7.1%","",""
"1692546629-17","https://www.glassdoor.com/Salary/Intuit-Salaries-E2293.htm","Intuit","View More >","https://www.glassdoor.com/Salary/Intuit-Customer-Services-and-Support-Salaries-EI_IE2293.0,6_DEPT1005.htm","Intuit Customer Services & Support Salaries","Annual Pay","Customer Success Manager","https://www.glassdoor.com/Salary/Intuit-Customer-Success-Manager-Salaries-E2293_D_KO7,31.htm","/yr","$105K - $171K","$105K","$171K","$133K","$132,724","Base Pay","$91,213/yr","$74K - $113K","Bonus","$10,455/yr","$8K - $15K","Stock","$10,673/yr","$8K - $15K","Commission","$20,384/yr","$15K - $29K","","","","United States","68.7%","7.9%","8%","15.4%",""
"1692546635-18","https://www.glassdoor.com/Salary/Intuit-Salaries-E2293.htm","Intuit","View More >","https://www.glassdoor.com/Salary/Intuit-Customer-Services-and-Support-Salaries-EI_IE2293.0,6_DEPT1005.htm","Intuit Customer Services & Support Salaries","Annual Pay","Customer Service Representative (CSR)","https://www.glassdoor.com/Salary/Intuit-Customer-Service-Representative-CSR-Salaries-E2293_DAO.htm?filter.jobTitleExact=Customer+Service+Representative+%28CSR%29","/yr","$85K - $142K","$85K","$142K","$109K","$109,033","Base Pay","$72,356/yr","$58K - $91K","Bonus","$8,439/yr","$6K - $12K","Stock","$8,125/yr","$6K - $11K","Commission","$20,113/yr","$15K - $28K","","","","United States","66.4%","7.7%","7.5%","18.4%",""
"1692546643-19","https://www.glassdoor.com/Salary/Intuit-Salaries-E2293.htm","Intuit","View More >","https://www.glassdoor.com/Salary/Intuit-Customer-Services-and-Support-Salaries-EI_IE2293.0,6_DEPT1005.htm","Intuit Customer Services & Support Salaries","Annual Pay","Customer Support Representative","https://www.glassdoor.com/Salary/Intuit-Customer-Support-Representative-Salaries-E2293_D_KO7,38.htm","/yr","$44K - $65K","$44K","$65K","$53K","$53,303","Base Pay","$46,136/yr","$39K - $55K","Bonus","$3,420/yr","$3K - $5K","Stock","$3,747/yr","$3K - $5K","","","","","","","United States","86.6%","6.4%","7%","",""
"1692546649-20","https://www.glassdoor.com/Salary/Intuit-Salaries-E2293.htm","Intuit","View More >","https://www.glassdoor.com/Salary/Intuit-Customer-Services-and-Support-Salaries-EI_IE2293.0,6_DEPT1005.htm","Intuit Customer Services & Support Salaries","Annual Pay","Customer Service Representative","https://www.glassdoor.com/Salary/Intuit-Customer-Service-Representative-Salaries-E2293_D_KO7,38.htm","/yr","$41K - $60K","$41K","$60K","$50K","$49,583","Base Pay","$42,359/yr","$36K - $50K","Bonus","$3,373/yr","$3K - $5K","Stock","$3,851/yr","$3K - $5K","","","","","","","United States","85.4%","6.8%","7.8%","",""
"1692546664-21","https://www.glassdoor.com/Salary/Intuit-Salaries-E2293.htm","Intuit","View More >","https://www.glassdoor.com/Salary/Intuit-Research-and-Science-Salaries-EI_IE2293.0,6_DEPT1019.htm","Intuit Research & Science Salaries","Annual Pay","User Experience Research Lab Coordinator","https://www.glassdoor.com/Salary/Intuit-User-Experience-Research-Lab-Coordinator-Salaries-E2293_D_KO7,47.htm","/yr","$120K - $194K","$120K","$194K","$152K","$151,640","Base Pay","$114,955/yr","$92K - $143K","Bonus","$14,690/yr","$11K - $21K","Stock","$21,995/yr","$16K - $31K","","","","","","","United States","75.8%","9.7%","14.5%","",""
"1692546679-22","https://www.glassdoor.com/Salary/Intuit-Salaries-E2293.htm","Intuit","View More >","https://www.glassdoor.com/Salary/Intuit-Research-and-Science-Salaries-EI_IE2293.0,6_DEPT1019.htm","Intuit Research & Science Salaries","Annual Pay","Researcher","https://www.glassdoor.com/Salary/Intuit-Researcher-Salaries-E2293_D_KO7,17.htm","/yr","$107K - $189K","$107K","$189K","$141K","$141,224","Base Pay","$108,732/yr","$82K - $144K","Bonus","$12,395/yr","$9K - $17K","Stock","$20,096/yr","$15K - $28K","","","","","","","United States","77%","8.8%","14.2%","",""
"1692546692-23","https://www.glassdoor.com/Salary/Intuit-Salaries-E2293.htm","Intuit","View More >","https://www.glassdoor.com/Salary/Intuit-Research-and-Science-Salaries-EI_IE2293.0,6_DEPT1019.htm","Intuit Research & Science Salaries","Annual Pay","Data Analyst Intern","https://www.glassdoor.com/Salary/Intuit-Data-Analyst-Intern-Salaries-E2293_D_KO7,26.htm","/yr","$86K - $134K","$86K","$134K","$107K","$107,162","Base Pay","$87,310/yr","$72K - $107K","Bonus","$9,039/yr","$7K - $13K","Stock","$10,813/yr","$8K - $15K","","","","","","","United States","81.5%","8.4%","10.1%","",""
"1692546697-24","https://www.glassdoor.com/Salary/Intuit-Salaries-E2293.htm","Intuit","View More >","https://www.glassdoor.com/Salary/Intuit-Research-and-Science-Salaries-EI_IE2293.0,6_DEPT1019.htm","Intuit Research & Science Salaries","Annual Pay","Senior Sales Productivity Analyst","https://www.glassdoor.com/Salary/Intuit-Senior-Sales-Productivity-Analyst-Salaries-E2293_D_KO7,40.htm","/yr","$107K - $181K","$107K","$181K","$138K","$137,684","Base Pay","$84,122/yr","$67K - $106K","Bonus","$11,152/yr","$8K - $16K","Stock","$10,943/yr","$8K - $15K","Commission","$31,467/yr","$24K - $44K","","","","United States","61.1%","8.1%","7.9%","22.9%",""
"1692546703-25","https://www.glassdoor.com/Salary/Intuit-Salaries-E2293.htm","Intuit","View More >","https://www.glassdoor.com/Salary/Intuit-Research-and-Science-Salaries-EI_IE2293.0,6_DEPT1019.htm","Intuit Research & Science Salaries","Annual Pay","Subject Matter Expert (SME)","https://www.glassdoor.com/Salary/Intuit-Subject-Matter-Expert-SME-Salaries-E2293_DAO.htm?filter.jobTitleExact=Subject+Matter+Expert+%28SME%29","/yr","$96K - $160K","$96K","$160K","$123K","$123,470","Base Pay","$94,349/yr","$74K - $120K","Bonus","$9,916/yr","$7K - $14K","Stock","$12,311/yr","$9K - $17K","Profit Sharing","$6,895/yr","$5K - $10K","","","","United States","76.4%","8%","10%","5.6%",""
"1692546710-26","https://www.glassdoor.com/Salary/Intuit-Salaries-E2293.htm","Intuit","View More >","https://www.glassdoor.com/Salary/Intuit-Research-and-Science-Salaries-EI_IE2293.0,6_DEPT1019.htm","Intuit Research & Science Salaries","Annual Pay","Tax Content Analyst","https://www.glassdoor.com/Salary/Intuit-Tax-Content-Analyst-Salaries-E2293_D_KO7,26.htm","/yr","$78K - $115K","$78K","$115K","$94K","$94,042","Base Pay","$78,896/yr","$66K - $94K","Bonus","$6,809/yr","$5K - $10K","Stock","$8,337/yr","$6K - $12K","","","","","","","United States","83.9%","7.2%","8.9%","",""
"1692546722-27","https://www.glassdoor.com/Salary/Intuit-Salaries-E2293.htm","Intuit","View More >","https://www.glassdoor.com/Salary/Intuit-Research-and-Science-Salaries-EI_IE2293.0,6_DEPT1019.htm","Intuit Research & Science Salaries","Annual Pay","Tax Content Analyst 2","https://www.glassdoor.com/Salary/Intuit-Tax-Content-Analyst-2-Salaries-E2293_D_KO7,28.htm","/yr","$81K - $119K","$81K","$119K","$97K","$97,367","Base Pay","$79,866/yr","$67K - $95K","Bonus","$8,157/yr","$6K - $11K","Stock","$9,344/yr","$7K - $13K","","","","","","","United States","82%","8.4%","9.6%","",""
"1692546731-28","https://www.glassdoor.com/Salary/Intuit-Salaries-E2293.htm","Intuit","View More >","https://www.glassdoor.com/Salary/Intuit-Research-and-Science-Salaries-EI_IE2293.0,6_DEPT1019.htm","Intuit Research & Science Salaries","Annual Pay","Staff Data Analyst","https://www.glassdoor.com/Salary/Intuit-Staff-Data-Analyst-Salaries-E2293_D_KO7,25.htm","/yr","$150K - $229K","$150K","$229K","$184K","$183,730","Base Pay","$139,510/yr","$117K - $167K","Bonus","$18,698/yr","$14K - $26K","Stock","$25,523/yr","$19K - $36K","","","","","","","United States","75.9%","10.2%","13.9%","",""
"1692546741-29","https://www.glassdoor.com/Salary/Intuit-Salaries-E2293.htm","Intuit","View More >","https://www.glassdoor.com/Salary/Intuit-Research-and-Science-Salaries-EI_IE2293.0,6_DEPT1019.htm","Intuit Research & Science Salaries","Annual Pay","Staff Analyst","https://www.glassdoor.com/Salary/Intuit-Staff-Analyst-Salaries-E2293_D_KO7,20.htm","/yr","$104K - $163K","$104K","$163K","$130K","$129,512","Base Pay","$99,982/yr","$82K - $122K","Bonus","$10,246/yr","$8K - $14K","Stock","$12,304/yr","$9K - $17K","Profit Sharing","$6,980/yr","$5K - $10K","","","","United States","77.2%","7.9%","9.5%","5.4%",""
"1692546751-30","https://www.glassdoor.com/Salary/Intuit-Salaries-E2293.htm","Intuit","View More >","https://www.glassdoor.com/Salary/Intuit-Research-and-Science-Salaries-EI_IE2293.0,6_DEPT1019.htm","Intuit Research & Science Salaries","Annual Pay","Data Science","https://www.glassdoor.com/Salary/Intuit-Data-Science-Salaries-E2293_D_KO7,19.htm","/yr","$165K - $256K","$165K","$256K","$204K","$203,690","Base Pay","$144,069/yr","$120K - $172K","Bonus","$21,051/yr","$16K - $29K","Stock","$38,570/yr","$29K - $54K","","","","","","","United States","70.7%","10.3%","18.9%","",""
"1692546757-31","https://www.glassdoor.com/Salary/Intuit-Salaries-E2293.htm","Intuit","View More >","https://www.glassdoor.com/Salary/Intuit-Research-and-Science-Salaries-EI_IE2293.0,6_DEPT1019.htm","Intuit Research & Science Salaries","Annual Pay","Senior Analyst","https://www.glassdoor.com/Salary/Intuit-Senior-Analyst-Salaries-E2293_D_KO7,21.htm","/yr","$99K - $145K","$99K","$145K","$119K","$119,172","Base Pay","$94,709/yr","$81K - $111K","Bonus","$8,600/yr","$6K - $12K","Stock","$9,750/yr","$7K - $14K","Profit Sharing","$6,113/yr","$5K - $9K","","","","United States","79.5%","7.2%","8.2%","5.1%",""
"1692546764-32","https://www.glassdoor.com/Salary/Intuit-Salaries-E2293.htm","Intuit","View More >","https://www.glassdoor.com/Salary/Intuit-Research-and-Science-Salaries-EI_IE2293.0,6_DEPT1019.htm","Intuit Research & Science Salaries","Annual Pay","Tax Content Analyst II","https://www.glassdoor.com/Salary/Intuit-Tax-Content-Analyst-II-Salaries-E2293_D_KO7,29.htm","/yr","$83K - $121K","$83K","$121K","$100K","$99,737","Base Pay","$82,041/yr","$70K - $96K","Bonus","$8,482/yr","$6K - $12K","Stock","$9,215/yr","$7K - $13K","","","","","","","United States","82.3%","8.5%","9.2%","",""
"1692546770-33","https://www.glassdoor.com/Salary/Intuit-Salaries-E2293.htm","Intuit","View More >","https://www.glassdoor.com/Salary/Intuit-Research-and-Science-Salaries-EI_IE2293.0,6_DEPT1019.htm","Intuit Research & Science Salaries","Annual Pay","Technical Data Analyst","https://www.glassdoor.com/Salary/Intuit-Technical-Data-Analyst-Salaries-E2293_D_KO7,29.htm","/yr","$85K - $133K","$85K","$133K","$105K","$105,463","Base Pay","$85,112/yr","$69K - $104K","Bonus","$6,961/yr","$5K - $10K","Stock","$8,102/yr","$6K - $11K","Profit Sharing","$5,288/yr","$4K - $7K","","","","United States","80.7%","6.6%","7.7%","5%",""
"1692546775-34","https://www.glassdoor.com/Salary/Intuit-Salaries-E2293.htm","Intuit","View More >","https://www.glassdoor.com/Salary/Intuit-Research-and-Science-Salaries-EI_IE2293.0,6_DEPT1019.htm","Intuit Research & Science Salaries","Annual Pay","Senior Data Analyst","https://www.glassdoor.com/Salary/Intuit-Senior-Data-Analyst-Salaries-E2293_D_KO7,26.htm","/yr","$119K - $181K","$119K","$181K","$146K","$145,899","Base Pay","$111,966/yr","$94K - $134K","Bonus","$11,776/yr","$9K - $16K","Stock","$14,348/yr","$11K - $20K","Profit Sharing","$7,808/yr","$6K - $11K","","","","United States","76.7%","8.1%","9.8%","5.4%",""
"1692546782-35","https://www.glassdoor.com/Salary/Intuit-Salaries-E2293.htm","Intuit","View More >","https://www.glassdoor.com/Salary/Intuit-Research-and-Science-Salaries-EI_IE2293.0,6_DEPT1019.htm","Intuit Research & Science Salaries","Annual Pay","Data Analyst","https://www.glassdoor.com/Salary/Intuit-Data-Analyst-Salaries-E2293_D_KO7,19.htm","/yr","$87K - $141K","$87K","$141K","$111K","$110,670","Base Pay","$91,252/yr","$73K - $114K","Bonus","$8,820/yr","$7K - $12K","Stock","$10,598/yr","$8K - $15K","","","","","","","United States","82.5%","8%","9.6%","",""
"1692546789-36","https://www.glassdoor.com/Salary/Intuit-Salaries-E2293.htm","Intuit","View More >","https://www.glassdoor.com/Salary/Intuit-Research-and-Science-Salaries-EI_IE2293.0,6_DEPT1019.htm","Intuit Research & Science Salaries","Annual Pay","Staff Data Scientist","https://www.glassdoor.com/Salary/Intuit-Staff-Data-Scientist-Salaries-E2293_D_KO7,27.htm","/yr","$208K - $308K","$208K","$308K","$251K","$250,582","Base Pay","$172,345/yr","$149K - $199K","Bonus","$29,075/yr","$22K - $41K","Stock","$49,162/yr","$37K - $69K","","","","","","","United States","68.8%","11.6%","19.6%","",""
"1692546794-37","https://www.glassdoor.com/Salary/Intuit-Salaries-E2293.htm","Intuit","View More >","https://www.glassdoor.com/Salary/Intuit-Research-and-Science-Salaries-EI_IE2293.0,6_DEPT1019.htm","Intuit Research & Science Salaries","Annual Pay","Senior Technical Data Analyst","https://www.glassdoor.com/Salary/Intuit-Senior-Technical-Data-Analyst-Salaries-E2293_D_KO7,36.htm","/yr","$113K - $171K","$113K","$171K","$138K","$137,864","Base Pay","$106,683/yr","$90K - $127K","Bonus","$10,643/yr","$8K - $15K","Stock","$13,188/yr","$10K - $18K","Profit Sharing","$7,350/yr","$6K - $10K","","","","United States","77.4%","7.7%","9.6%","5.3%",""
"1692546800-38","https://www.glassdoor.com/Salary/Intuit-Salaries-E2293.htm","Intuit","View More >","https://www.glassdoor.com/Salary/Intuit-Research-and-Science-Salaries-EI_IE2293.0,6_DEPT1019.htm","Intuit Research & Science Salaries","Annual Pay","Analyst","https://www.glassdoor.com/Salary/Intuit-Analyst-Salaries-E2293_D_KO7,14.htm","/yr","$79K - $127K","$79K","$127K","$100K","$99,545","Base Pay","$83,890/yr","$67K - $105K","Bonus","$7,199/yr","$5K - $10K","Stock","$8,455/yr","$6K - $12K","","","","","","","United States","84.3%","7.2%","8.5%","",""
"1692546808-39","https://www.glassdoor.com/Salary/Intuit-Salaries-E2293.htm","Intuit","View More >","https://www.glassdoor.com/Salary/Intuit-Research-and-Science-Salaries-EI_IE2293.0,6_DEPT1019.htm","Intuit Research & Science Salaries","Annual Pay","Data Scientist","https://www.glassdoor.com/Salary/Intuit-Data-Scientist-Salaries-E2293_D_KO7,21.htm","/yr","$160K - $239K","$160K","$239K","$194K","$194,006","Base Pay","$142,468/yr","$122K - $167K","Bonus","$19,265/yr","$14K - $27K","Stock","$32,272/yr","$24K - $45K","","","","","","","United States","73.4%","9.9%","16.6%","",""
"1692546813-40","https://www.glassdoor.com/Salary/Intuit-Salaries-E2293.htm","Intuit","View More >","https://www.glassdoor.com/Salary/Intuit-Research-and-Science-Salaries-EI_IE2293.0,6_DEPT1019.htm","Intuit Research & Science Salaries","Annual Pay","Senior Data Scientist","https://www.glassdoor.com/Salary/Intuit-Senior-Data-Scientist-Salaries-E2293_D_KO7,28.htm","/yr","$194K - $285K","$194K","$285K","$233K","$232,734","Base Pay","$164,919/yr","$143K - $190K","Bonus","$25,827/yr","$19K - $36K","Stock","$41,988/yr","$31K - $59K","","","","","","","United States","70.9%","11.1%","18%","",""
"1692546828-41","https://www.glassdoor.com/Salary/Intuit-Salaries-E2293.htm","Intuit","View More >","https://www.glassdoor.com/Salary/Intuit-Arts-and-Design-Salaries-EI_IE2293.0,6_DEPT1002.htm","Intuit Arts & Design Salaries","Annual Pay","Sr. Product Designer","https://www.glassdoor.com/Salary/Intuit-Sr-Product-Designer-Salaries-E2293_DAO.htm?filter.jobTitleExact=Sr.+Product+Designer","/yr","$124K - $195K","$124K","$195K","$154K","$154,068","Base Pay","$118,983/yr","$97K - $145K","Bonus","$13,491/yr","$10K - $19K","Stock","$21,595/yr","$16K - $30K","","","","","","","United States","77.2%","8.8%","14%","",""
"1692546834-42","https://www.glassdoor.com/Salary/Intuit-Salaries-E2293.htm","Intuit","View More >","https://www.glassdoor.com/Salary/Intuit-Arts-and-Design-Salaries-EI_IE2293.0,6_DEPT1002.htm","Intuit Arts & Design Salaries","Annual Pay","Creative Director","https://www.glassdoor.com/Salary/Intuit-Creative-Director-Salaries-E2293_D_KO7,24.htm","/yr","$247K - $434K","$247K","$434K","$324K","$324,079","Base Pay","$194,221/yr","$150K - $252K","Bonus","$48,803/yr","$37K - $68K","Stock","$57,527/yr","$43K - $81K","Profit Sharing","$23,528/yr","$18K - $33K","","","","United States","59.9%","15.1%","17.8%","7.3%",""
"1692546841-43","https://www.glassdoor.com/Salary/Intuit-Salaries-E2293.htm","Intuit","View More >","https://www.glassdoor.com/Salary/Intuit-Arts-and-Design-Salaries-EI_IE2293.0,6_DEPT1002.htm","Intuit Arts & Design Salaries","Annual Pay","Senior Visual Product Designer","https://www.glassdoor.com/Salary/Intuit-Senior-Visual-Product-Designer-Salaries-E2293_D_KO7,37.htm","/yr","$166K - $272K","$166K","$272K","$210K","$210,400","Base Pay","$147,162/yr","$118K - $183K","Bonus","$23,383/yr","$18K - $33K","Stock","$39,856/yr","$30K - $56K","","","","","","","United States","69.9%","11.1%","18.9%","",""
